 Name                      Version    License
 Babel                     2.12.1     BSD License
 Jinja2                    3.1.2      BSD License
 Logbook                   1.5.3      BSD
 MarkupSafe                2.1.2      BSD License
 PyYAML                    6.0        MIT License
 Werkzeug                  2.2.3      BSD License
 agate                     1.7.0      MIT License
 attrs                     22.2.0     MIT License
 betterproto               1.2.5      MIT
 certifi                   2022.12.7  Mozilla Public License 2.0 (MPL 2.0)
 cffi                      1.15.1     MIT License
 charset-normalizer        3.1.0      MIT License
 click                     8.1.3      BSD License
 colorama                  0.4.6      BSD License
 dbt-core                  1.7.0      Apache Software License
 dbt-dremio                1.7.0      Apache Software License
 dbt-extractor             0.4.1      Apache Software License
 dbt-tests-adapter         1.7.0      Apache Software License
 exceptiongroup            1.1.1      MIT License
 future                    0.18.3     MIT License
 grpclib                   0.4.3      BSD License
 h2                        4.1.0      MIT License
 hologram                  0.0.15     MIT License
 hpack                     4.0.0      MIT License
 hyperframe                6.0.1      MIT License
 idna                      3.4        BSD License
 iniconfig                 2.0.0      MIT License
 isodate                   0.6.1      BSD License
 jsonschema                3.2.0      MIT License
 leather                   0.3.4      MIT License
 mashumaro                 3.3.1      Apache Software License
 minimal-snowplow-tracker  0.0.2      Apache Software License
 msgpack                   1.0.5      Apache Software License
 multidict                 6.0.4      Apache Software License
 networkx                  2.8.8      BSD License
 packaging                 23.0       Apache Software License; BSD License
 parsedatetime             2.4        Apache Software License
 pathspec                  0.10.3     Mozilla Public License 2.0 (MPL 2.0)
 pluggy                    1.0.0      MIT License
 pycparser                 2.21       BSD License
 pyrsistent                0.19.3     MIT License
 pytest                    7.2.2      MIT License
 python-dateutil           2.8.2      Apache Software License; BSD License
 python-slugify            8.0.1      MIT License
 pytimeparse               1.1.8      MIT License
 pytz                      2022.7.1   MIT License
 requests                  2.31.0     Apache Software License
 six                       1.16.0     MIT License
 sqlparse                  0.4.4      BSD License
 stringcase                1.2.0      MIT
 text-unidecode            1.3        Artistic License; GNU General Public License (GPL); GNU General Public License v2 or later (GPLv2+)
 tomli                     2.0.1      MIT License
 typing_extensions         4.5.0      Python Software Foundation License
 urllib3                   1.26.15    MIT License
